No,Year,ODV,ONC,ODD,Order,ID,YID,Species_vi,Species_en,Species_sci,Peri_cm,DBH_cm,Ht_m,Hdc_m,E_m,W_m,S_m,N_m,Quality,Long,Lat,Ghi_chu,Note,Hreg_m,AGB_Hreg,AGB_Ho,AGB_kg
904,2020,17,3,25,66,17_3_25_66,2020_17_3_25_66,Trường mật,Truong mat,Paviesia annamensis Pierre,42,13.4,10,0,0,0,0,0,a,103.8013097,22.3217069,0,0,9.291590586,51.89488728,54.28608894,54.28608894
905,2020,17,3,25,67,17_3_25_67,2020_17_3_25_67,Dung giấy,Dung giay,Symplocos laurina (Retz) Wall,26.8,8.5,7,0,0,0,0,0,c,103.8013043,22.32171571,Nghieng dong,Lean east,7.282586989,17.06828246,16.65912085,16.65912085
906,2020,17,3,25,69,17_3_25_69,2020_17_3_25_69,Kháo vòng,Khao vong,Macchilus sp,42,13.4,10.5,0,0,0,0,0,a,103.801295,22.32166614,Cung goc,Same stump,9.291590586,51.89488728,55.93449394,55.93449394
907,2020,17,3,25,70,17_3_25_70,2020_17_3_25_70,Kháo vòng,Khao vong,Macchilus sp,38.5,12.3,10.5,0,0,0,0,0,a,103.8012972,22.32166616,Cung goc,Same stump,8.875242866,42.09669152,46.66699272,46.66699272
908,2020,17,3,25,68,17_3_25_68,2020_17_3_25_68,Kháo vòng,Khao vong,Macchilus sp,29.5,9.4,8,0,0,0,0,0,a,103.8012924,22.32166612,Cung goc,Same stump,7.685627674,21.82569668,22.36879463,22.36879463
909,2020,17,3,25,71,17_3_25_71,2020_17_3_25_71,Kháo vòng,Khao vong,Macchilus sp,41.2,13.1,10,0,0,0,0,0,a,103.8012953,22.32167933,Cung goc,Same stump,9.179669178,49.10230895,51.74789192,51.74789192
910,2020,17,3,25,72,17_3_25_72,2020_17_3_25_72,Kháo vòng,Khao vong,Macchilus sp,45.3,14.4,10,0,0,0,0,0,a,103.8012976,22.32167935,Cung goc,Same stump,9.656497722,61.87073102,63.21095105,63.21095105
911,2020,17,3,25,73,17_3_25_73,2020_17_3_25_73,Kháo vòng,Khao vong,Macchilus sp,52,16.6,11.5,0,0,0,0,0,a,103.8012805,22.32170171,Cung goc,Same stump,10.41997778,87.56409059,93.02201802,93.02201802
912,2020,17,3,25,74,17_3_25_74,2020_17_3_25_74,Kháo vòng,Khao vong,Macchilus sp,55,17.5,11.5,0,0,0,0,0,a,103.8012824,22.32170173,Cung goc,Same stump,10.71862914,99.61908826,104.0107044,104.0107044
913,2020,17,3,25,75,17_3_25_75,2020_17_3_25_75,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,30.5,9.7,6.5,0,0,0,0,0,b,103.8012756,22.32169734,0,0,7.81594954,23.56672852,21.04792894,21.04792894
914,2020,17,3,25,76,17_3_25_76,2020_17_3_25_76,Súm lông,Sum long,Eurya ciliata Merr,37.5,11.9,10.5,0,0,0,0,0,a,103.801271,22.32171067,0,0,8.719579732,38.83039997,43.5156224,43.5156224
